counts  d_counts        d_time  cpm     uSv/h
0000008066      0000000004         5.000          48.000           0.322
0000008070      0000000004         5.001          47.990           0.322
0000008072      0000000002         5.001          23.995           0.161
0000008077      0000000005         5.001          59.988           0.402
0000008080      0000000003         5.001          35.993           0.241
0000008086      0000000006         5.000          72.000           0.482
0000008090      0000000004         5.001          47.990           0.322
0000008092      0000000002         5.001          23.995           0.161
0000008097      0000000005         5.001          59.988           0.402
0000008103      0000000006         5.001          71.986           0.482
0000008110      0000000007         5.000          84.000           0.563
0000008116      0000000006         5.001          71.986           0.482
0000008121      0000000005         5.001          59.988           0.402
0000008127      0000000006         5.001          71.986           0.482
0000008134      0000000007         5.001          83.983           0.563
0000008139      0000000005         5.000          60.000           0.402
0000008143      0000000004         5.001          47.990           0.322
0000008149      0000000006         5.001          71.986           0.482
0000008155      0000000006         5.001          71.986           0.482
0000008157      0000000002         5.002          23.990           0.161
0000008163      0000000006         5.001          71.986           0.482
0000008166      0000000003         5.001          35.993           0.241
0000008170      0000000004         5.001          47.990           0.322
0000008174      0000000004         5.001          47.990           0.322
0000008179      0000000005         5.000          60.000           0.402
0000008185      0000000006         5.001          71.986           0.482
0000008188      0000000003         5.001          35.993           0.241
0000008192      0000000004         5.001          47.990           0.322
0000008194      0000000002         5.001          23.995           0.161
0000008202      0000000008         5.000          96.000           0.643
0000008207      0000000005         5.001          59.988           0.402
0000008212      0000000005         5.001          59.988           0.402
0000008221      0000000009         5.001         107.978           0.723
0000008225      0000000004         5.001          47.990           0.322
0000008230      0000000005         5.000          60.000           0.402
0000008235      0000000005         5.001          59.988           0.402
0000008238      0000000003         5.001          35.993           0.241
0000008244      0000000006         5.001          71.986           0.482
0000008250      0000000006         5.001          71.986           0.482
0000008254      0000000004         5.000          48.000           0.322
0000008260      0000000006         5.001          71.986           0.482
0000008264      0000000004         5.001          47.990           0.322
0000008267      0000000003         5.001          35.993           0.241
0000008272      0000000005         5.002          59.976           0.402
0000008279      0000000007         5.001          83.983           0.563
0000008282      0000000003         5.001          35.993           0.241
0000008288      0000000006         5.001          71.986           0.482
0000008290      0000000002         5.001          23.995           0.161
0000008293      0000000003         5.000          36.000           0.241
0000008298      0000000005         5.001          59.988           0.402
0000008303      0000000005         5.001          59.988           0.402
0000008308      0000000005         5.001          59.988           0.402
0000008314      0000000006         5.001          71.986           0.482
0000008320      0000000006         5.000          72.000           0.482
0000008326      0000000006         5.001          71.986           0.482
0000008334      0000000008         5.011          95.789           0.642
0000008338      0000000004         5.001          47.990           0.322
0000008342      0000000004         5.000          48.000           0.322
0000008346      0000000004         5.001          47.990           0.322
0000008351      0000000005         5.001          59.988           0.402
0000008359      0000000008         5.001          95.981           0.643
0000008362      0000000003         5.001          35.993           0.241
0000008367      0000000005         5.000          60.000           0.402
0000008368      0000000001         5.001          11.998           0.080
0000008376      0000000008         5.001          95.981           0.643
0000008377      0000000001         5.001          11.998           0.080
0000008384      0000000007         5.002          83.966           0.563
0000008386      0000000002         5.001          23.995           0.161
0000008393      0000000007         5.001          83.983           0.563
0000008401      0000000008         5.001          95.981           0.643
0000008404      0000000003         5.001          35.993           0.241
0000008408      0000000004         5.000          48.000           0.322
0000008412      0000000004         5.001          47.990           0.322
0000008418      0000000006         5.001          71.986           0.482
0000008424      0000000006         5.001          71.986           0.482
0000008427      0000000003         5.001          35.993           0.241
0000008430      0000000003         5.000          36.000           0.241
0000008437      0000000007         5.001          83.983           0.563
0000008439      0000000002         5.001          23.995           0.161
0000008442      0000000003         5.005          35.964           0.241
0000008446      0000000004         5.002          47.981           0.321
0000008453      0000000007         5.001          83.983           0.563
0000008457      0000000004         5.001          47.990           0.322
0000008463      0000000006         5.001          71.986           0.482
0000008465      0000000002         5.001          23.995           0.161
0000008465      0000000000         5.000           0.000           0.000
0000008469      0000000004         5.001          47.990           0.322
0000008472      0000000003         5.001          35.993           0.241
0000008476      0000000004         5.001          47.990           0.322
0000008480      0000000004         5.001          47.990           0.322
0000008486      0000000006         5.000          72.000           0.482
0000008490      0000000004         5.001          47.990           0.322
0000008495      0000000005         5.001          59.988           0.402
0000008501      0000000006         5.001          71.986           0.482
0000008503      0000000002         5.001          23.995           0.161
0000008508      0000000005         5.000          60.000           0.402
0000008511      0000000003         5.001          35.993           0.241
0000008514      0000000003         5.001          35.993           0.241
0000008521      0000000007         5.001          83.983           0.563
0000008525      0000000004         5.002          47.981           0.321
0000008530      0000000005         5.001          59.988           0.402
0000008535      0000000005         5.001          59.988           0.402
0000008538      0000000003         5.001          35.993           0.241
0000008544      0000000006         5.001          71.986           0.482
0000008547      0000000003         5.000          36.000           0.241
0000008556      0000000009         5.001         107.978           0.723
0000008562      0000000006         5.001          71.986           0.482
0000008565      0000000003         5.001          35.993           0.241
0000008572      0000000007         5.001          83.983           0.563
0000008575      0000000003         5.000          36.000           0.241
0000008579      0000000004         5.001          47.990           0.322
0000008584      0000000005         5.001          59.988           0.402
0000008589      0000000005         5.001          59.988           0.402
0000008594      0000000005         5.001          59.988           0.402
0000008598      0000000004         5.000          48.000           0.322
0000008599      0000000001         5.001          11.998           0.080
0000008602      0000000003         5.001          35.993           0.241
0000008604      0000000002         5.001          23.995           0.161
0000008612      0000000008         5.001          95.981           0.643
0000008617      0000000005         5.000          60.000           0.402
0000008625      0000000008         5.001          95.981           0.643
0000008629      0000000004         5.001          47.990           0.322
0000008636      0000000007         5.001          83.983           0.563
0000008638      0000000002         5.001          23.995           0.161
0000008641      0000000003         5.000          36.000           0.241
0000008644      0000000003         5.001          35.993           0.241
0000008651      0000000007         5.001          83.983           0.563
0000008652      0000000001         5.001          11.998           0.080
0000008654      0000000002         5.002          23.990           0.161
0000008655      0000000001         5.001          11.998           0.080
0000008661      0000000006         5.001          71.986           0.482
0000008668      0000000007         5.001          83.983           0.563
0000008673      0000000005         5.001          59.988           0.402
0000008676      0000000003         5.000          36.000           0.241
0000008679      0000000003         5.001          35.993           0.241
0000008683      0000000004         5.001          47.990           0.322
0000008684      0000000001         5.001          11.998           0.080
0000008687      0000000003         5.001          35.993           0.241
0000008691      0000000004         5.000          48.000           0.322
0000008695      0000000004         5.001          47.990           0.322
0000008703      0000000008         5.001          95.981           0.643
0000008706      0000000003         5.001          35.993           0.241
0000008712      0000000006         5.001          71.986           0.482
0000008717      0000000005         5.000          60.000           0.402
0000008722      0000000005         5.001          59.988           0.402
0000008726      0000000004         5.001          47.990           0.322
0000008731      0000000005         5.001          59.988           0.402
0000008735      0000000004         5.001          47.990           0.322
0000008740      0000000005         5.000          60.000           0.402
0000008745      0000000005         5.001          59.988           0.402
0000008751      0000000006         5.001          71.986           0.482
0000008755      0000000004         5.001          47.990           0.322
0000008766      0000000011         5.002         131.947           0.884
0000008770      0000000004         5.001          47.990           0.322
0000008777      0000000007         5.001          83.983           0.563
0000008779      0000000002         5.001          23.995           0.161
0000008782      0000000003         5.001          35.993           0.241
0000008786      0000000004         5.000          48.000           0.322
0000008794      0000000008         5.001          95.981           0.643
0000008800      0000000006         5.001          71.986           0.482
0000008804      0000000004         5.001          47.990           0.322
0000008810      0000000006         5.016          71.770           0.481
0000008815      0000000005         5.001          59.988           0.402
0000008823      0000000008         5.001          95.981           0.643
0000008828      0000000005         5.001          59.988           0.402
0000008832      0000000004         5.000          48.000           0.322
0000008835      0000000003         5.001          35.993           0.241
0000008841      0000000006         5.001          71.986           0.482
0000008847      0000000006         5.001          71.986           0.482
0000008850      0000000003         5.001          35.993           0.241
0000008853      0000000003         5.000          36.000           0.241
0000008857      0000000004         5.001          47.990           0.322
0000008862      0000000005         5.001          59.988           0.402
0000008871      0000000009         5.001         107.978           0.723
0000008874      0000000003         5.001          35.993           0.241
0000008881      0000000007         5.000          84.000           0.563
0000008885      0000000004         5.001          47.990           0.322
0000008891      0000000006         5.001          71.986           0.482
0000008899      0000000008         5.001          95.981           0.643
0000008902      0000000003         5.001          35.993           0.241
0000008904      0000000002         5.000          24.000           0.161
0000008910      0000000006         5.001          71.986           0.482
0000008913      0000000003         5.001          35.993           0.241
0000008916      0000000003         5.001          35.993           0.241
0000008922      0000000006         5.002          71.971           0.482
0000008928      0000000006         5.001          71.986           0.482
0000008930      0000000002         5.001          23.995           0.161
0000008932      0000000002         5.001          23.995           0.161
0000008938      0000000006         5.001          71.986           0.482
0000008943      0000000005         5.000          60.000           0.402
0000008949      0000000006         5.001          71.986           0.482
0000008953      0000000004         5.001          47.990           0.322
0000008955      0000000002         5.001          23.995           0.161
0000008958      0000000003         5.001          35.993           0.241
0000008960      0000000002         5.000          24.000           0.161
0000008962      0000000002         5.001          23.995           0.161
0000008968      0000000006         5.001          71.986           0.482
0000008973      0000000005         5.001          59.988           0.402
0000008976      0000000003         5.001          35.993           0.241
0000008979      0000000003         5.000          36.000           0.241
0000008983      0000000004         5.001          47.990           0.322
0000008985      0000000002         5.001          23.995           0.161
0000008989      0000000004         5.001          47.990           0.322
0000008992      0000000003         5.001          35.993           0.241
0000008999      0000000007         5.000          84.000           0.563
0000009009      0000000010         5.001         119.976           0.804
0000009013      0000000004         5.001          47.990           0.322
0000009019      0000000006         5.001          71.986           0.482
0000009026      0000000007         5.002          83.966           0.563
0000009031      0000000005         5.001          59.988           0.402
0000009037      0000000006         5.001          71.986           0.482
0000009040      0000000003         5.001          35.993           0.241
0000009042      0000000002         5.001          23.995           0.161
0000009046      0000000004         5.000          48.000           0.322
0000009051      0000000005         5.001          59.988           0.402
0000009056      0000000005         5.001          59.988           0.402
0000009062      0000000006         5.001          71.986           0.482
0000009064      0000000002         5.001          23.995           0.161
0000009067      0000000003         5.000          36.000           0.241
0000009071      0000000004         5.001          47.990           0.322
0000009075      0000000004         5.001          47.990           0.322
0000009077      0000000002         5.001          23.995           0.161
0000009082      0000000005         5.001          59.988           0.402
0000009088      0000000006         5.000          72.000           0.482
0000009094      0000000006         5.001          71.986           0.482
0000009100      0000000006         5.001          71.986           0.482
0000009104      0000000004         5.001          47.990           0.322
0000009109      0000000005         5.001          59.988           0.402
0000009116      0000000007         5.000          84.000           0.563
0000009125      0000000009         5.001         107.978           0.723
0000009127      0000000002         5.001          23.995           0.161
0000009134      0000000007         5.001          83.983           0.563
0000009142      0000000008         5.002          95.962           0.643
0000009148      0000000006         5.001          71.986           0.482
0000009153      0000000005         5.001          59.988           0.402
0000009156      0000000003         5.001          35.993           0.241
0000009159      0000000003         5.001          35.993           0.241
0000009161      0000000002         5.004          23.981           0.161
0000009168      0000000007         5.001          83.983           0.563
0000009173      0000000005         5.001          59.988           0.402
0000009177      0000000004         5.001          47.990           0.322
0000009179      0000000002         5.002          23.990           0.161
0000009183      0000000004         5.001          47.990           0.322
0000009190      0000000007         5.001          83.983           0.563
0000009194      0000000004         5.001          47.990           0.322
0000009202      0000000008         5.001          95.981           0.643
0000009209      0000000007         5.000          84.000           0.563
0000009212      0000000003         5.001          35.993           0.241
0000009219      0000000007         5.001          83.983           0.563
0000009220      0000000001         5.001          11.998           0.080
0000009224      0000000004         5.001          47.990           0.322
0000009230      0000000006         5.000          72.000           0.482
0000009235      0000000005         5.001          59.988           0.402
0000009238      0000000003         5.001          35.993           0.241
0000009244      0000000006         5.001          71.986           0.482
0000009248      0000000004         5.001          47.990           0.322
0000009249      0000000001         5.000          12.000           0.080
0000009252      0000000003         5.001          35.993           0.241
0000009258      0000000006         5.001          71.986           0.482
0000009261      0000000003         5.001          35.993           0.241
0000009267      0000000006         5.001          71.986           0.482
0000009272      0000000005         5.000          60.000           0.402
0000009278      0000000006         5.001          71.986           0.482
0000009280      0000000002         5.001          23.995           0.161
0000009286      0000000006         5.001          71.986           0.482
0000009290      0000000004         5.001          47.990           0.322
0000009294      0000000004         5.000          48.000           0.322
0000009303      0000000009         5.001         107.978           0.723
0000009307      0000000004         5.001          47.990           0.322
0000009311      0000000004         5.001          47.990           0.322
0000009316      0000000005         5.002          59.976           0.402
0000009319      0000000003         5.001          35.993           0.241
0000009324      0000000005         5.001          59.988           0.402
0000009328      0000000004         5.001          47.990           0.322
0000009332      0000000004         5.001          47.990           0.322
0000009338      0000000006         5.000          72.000           0.482
0000009339      0000000001         5.001          11.998           0.080
0000009341      0000000002         5.001          23.995           0.161
0000009342      0000000001         5.001          11.998           0.080
0000009350      0000000008         5.001          95.981           0.643
0000009355      0000000005         5.000          60.000           0.402
0000009360      0000000005         5.001          59.988           0.402
0000009372      0000000012         5.001         143.971           0.965
0000009379      0000000007         5.001          83.983           0.563
0000009384      0000000005         5.001          59.988           0.402
0000009389      0000000005         5.000          60.000           0.402
0000009394      0000000005         5.001          59.988           0.402
0000009400      0000000006         5.001          71.986           0.482
0000009407      0000000007         5.001          83.983           0.563
0000009414      0000000007         5.001          83.983           0.563
0000009421      0000000007         5.000          84.000           0.563
0000009423      0000000002         5.001          23.995           0.161
0000009429      0000000006         5.001          71.986           0.482
0000009437      0000000008         5.001          95.981           0.643
0000009443      0000000006         5.002          71.971           0.482
0000009448      0000000005         5.001          59.988           0.402
0000009450      0000000002         5.001          23.995           0.161
0000009456      0000000006         5.001          71.986           0.482
0000009461      0000000005         5.001          59.988           0.402
0000009465      0000000004         5.000          48.000           0.322
0000009471      0000000006         5.001          71.986           0.482
0000009475      0000000004         5.001          47.990           0.322
0000009478      0000000003         5.001          35.993           0.241
0000009485      0000000007         5.001          83.983           0.563
0000009491      0000000006         5.000          72.000           0.482
0000009494      0000000003         5.001          35.993           0.241
0000009500      0000000006         5.001          71.986           0.482
0000009506      0000000006         5.001          71.986           0.482
0000009510      0000000004         5.001          47.990           0.322
0000009515      0000000005         5.000          60.000           0.402
0000009525      0000000010         5.001         119.976           0.804
0000009525      0000000000         5.001           0.000           0.000
0000009528      0000000003         5.001          35.993           0.241
0000009532      0000000004         5.001          47.990           0.322
0000009538      0000000006         5.000          72.000           0.482
0000009541      0000000003         5.001          35.993           0.241
0000009542      0000000001         5.001          11.998           0.080
0000009545      0000000003         5.001          35.993           0.241
0000009549      0000000004         5.002          47.981           0.321
0000009552      0000000003         5.001          35.993           0.241
0000009556      0000000004         5.001          47.990           0.322
0000009559      0000000003         5.001          35.993           0.241
0000009561      0000000002         5.001          23.995           0.161
0000009568      0000000007         5.000          84.000           0.563
0000009572      0000000004         5.001          47.990           0.322
0000009578      0000000006         5.001          71.986           0.482
0000009585      0000000007         5.001          83.983           0.563
0000009587      0000000002         5.001          23.995           0.161
0000009592      0000000005         5.000          60.000           0.402
0000009594      0000000002         5.001          23.995           0.161
0000009602      0000000008         5.001          95.981           0.643
0000009603      0000000001         5.001          11.998           0.080
0000009608      0000000005         5.001          59.988           0.402
0000009612      0000000004         5.000          48.000           0.322
0000009618      0000000006         5.001          71.986           0.482
0000009625      0000000007         5.001          83.983           0.563
0000009631      0000000006         5.001          71.986           0.482
0000009634      0000000003         5.001          35.993           0.241
0000009636      0000000002         5.000          24.000           0.161
0000009643      0000000007         5.001          83.983           0.563
0000009648      0000000005         5.001          59.988           0.402
0000009652      0000000004         5.001          47.990           0.322
0000009655      0000000003         5.002          35.986           0.241
0000009658      0000000003         5.001          35.993           0.241
0000009659      0000000001         5.001          11.998           0.080
0000009662      0000000003         5.001          35.993           0.241
0000009664      0000000002         5.001          23.995           0.161
0000009668      0000000004         5.000          48.000           0.322
0000009672      0000000004         5.001          47.990           0.322
0000009675      0000000003         5.001          35.993           0.241
0000009681      0000000006         5.001          71.986           0.482
0000009690      0000000009         5.001         107.978           0.723
0000009694      0000000004         5.000          48.000           0.322
0000009699      0000000005         5.001          59.988           0.402
0000009705      0000000006         5.001          71.986           0.482
0000009712      0000000007         5.001          83.983           0.563
0000009715      0000000003         5.001          35.993           0.241
0000009722      0000000007         5.000          84.000           0.563
0000009726      0000000004         5.001          47.990           0.322
0000009729      0000000003         5.001          35.993           0.241
0000009731      0000000002         5.001          23.995           0.161
0000009737      0000000006         5.001          71.986           0.482
0000009741      0000000004         5.000          48.000           0.322
0000009748      0000000007         5.001          83.983           0.563
0000009752      0000000004         5.001          47.990           0.322
0000009756      0000000004         5.001          47.990           0.322
0000009765      0000000009         5.001         107.978           0.723
0000009768      0000000003         5.000          36.000           0.241
0000009770      0000000002         5.001          23.995           0.161
0000009774      0000000004         5.001          47.990           0.322
0000009777      0000000003         5.001          35.993           0.241
0000009786      0000000009         5.002         107.957           0.723
0000009789      0000000003         5.001          35.993           0.241
0000009793      0000000004         5.001          47.990           0.322
0000009796      0000000003         5.001          35.993           0.241
0000009802      0000000006         5.001          71.986           0.482
0000009805      0000000003         5.000          36.000           0.241
0000009812      0000000007         5.001          83.983           0.563
0000009817      0000000005         5.001          59.988           0.402
0000009820      0000000003         5.001          35.993           0.241
0000009825      0000000005         5.001          59.988           0.402
0000009830      0000000005         5.000          60.000           0.402
0000009832      0000000002         5.001          23.995           0.161
0000009837      0000000005         5.001          59.988           0.402
0000009841      0000000004         5.001          47.990           0.322
0000009849      0000000008         5.001          95.981           0.643
0000009855      0000000006         5.000          72.000           0.482
0000009862      0000000007         5.001          83.983           0.563
0000009866      0000000004         5.001          47.990           0.322
0000009870      0000000004         5.001          47.990           0.322
0000009876      0000000006         5.001          71.986           0.482
0000009881      0000000005         5.000          60.000           0.402
0000009888      0000000007         5.001          83.983           0.563
0000009893      0000000005         5.001          59.988           0.402
0000009898      0000000005         5.001          59.988           0.402
0000009900      0000000002         5.002          23.990           0.161
0000009903      0000000003         5.001          35.993           0.241
0000009906      0000000003         5.001          35.993           0.241
0000009909      0000000003         5.001          35.993           0.241
0000009912      0000000003         5.001          35.993           0.241
0000009918      0000000006         5.000          72.000           0.482
0000009920      0000000002         5.001          23.995           0.161
0000009930      0000000010         5.001         119.976           0.804
0000009933      0000000003         5.001          35.993           0.241
0000009935      0000000002         5.001          23.995           0.161
0000009938      0000000003         5.000          36.000           0.241
0000009942      0000000004         5.001          47.990           0.322
0000009948      0000000006         5.001          71.986           0.482
0000009949      0000000001         5.001          11.998           0.080
0000009954      0000000005         5.001          59.988           0.402
0000009959      0000000005         5.002          59.976           0.402
0000009966      0000000007         5.001          83.983           0.563
0000009968      0000000002         5.001          23.995           0.161
0000009973      0000000005         5.001          59.988           0.402
0000009981      0000000008         5.002          95.962           0.643
0000009986      0000000005         5.001          59.988           0.402
0000009990      0000000004         5.001          47.990           0.322
0000009993      0000000003         5.001          35.993           0.241
0000009995      0000000002         5.001          23.995           0.161
0000009999      0000000004         5.000          48.000           0.322
0000010003      0000000004         5.001          47.990           0.322
0000010005      0000000002         5.001          23.995           0.161
0000010008      0000000003         5.001          35.993           0.241
0000010010      0000000002         5.001          23.995           0.161
0000010016      0000000006         5.000          72.000           0.482
0000010023      0000000007         5.001          83.983           0.563
0000010025      0000000002         5.001          23.995           0.161
0000010032      0000000007         5.001          83.983           0.563
0000010036      0000000004         5.001          47.990           0.322
0000010042      0000000006         5.000          72.000           0.482
0000010048      0000000006         5.001          71.986           0.482
0000010053      0000000005         5.001          59.988           0.402
0000010058      0000000005         5.001          59.988           0.402
0000010061      0000000003         5.001          35.993           0.241
0000010068      0000000007         5.000          84.000           0.563
0000010072      0000000004         5.001          47.990           0.322
0000010073      0000000001         5.001          11.998           0.080
0000010078      0000000005         5.020          59.761           0.400
0000010081      0000000003         5.001          35.993           0.241
0000010084      0000000003         5.001          35.993           0.241
0000010090      0000000006         5.001          71.986           0.482
0000010099      0000000009         5.000         108.000           0.724
0000010100      0000000001         5.001          11.998           0.080
0000010106      0000000006         5.001          71.986           0.482
0000010111      0000000005         5.001          59.988           0.402
0000010115      0000000004         5.001          47.990           0.322
0000010121      0000000006         5.000          72.000           0.482
0000010125      0000000004         5.001          47.990           0.322
0000010129      0000000004         5.001          47.990           0.322
0000010133      0000000004         5.001          47.990           0.322
0000010138      0000000005         5.001          59.988           0.402
0000010147      0000000009         5.000         108.000           0.724
0000010155      0000000008         5.001          95.981           0.643
0000010157      0000000002         5.001          23.995           0.161
0000010159      0000000002         5.001          23.995           0.161
0000010169      0000000010         5.001         119.976           0.804
0000010175      0000000006         5.000          72.000           0.482
0000010178      0000000003         5.001          35.993           0.241
0000010183      0000000005         5.001          59.988           0.402
0000010191      0000000008         5.001          95.981           0.643
0000010195      0000000004         5.002          47.981           0.321
0000010205      0000000010         5.001         119.976           0.804
0000010211      0000000006         5.001          71.986           0.482
0000010213      0000000002         5.001          23.995           0.161
0000010217      0000000004         5.001          47.990           0.322
0000010224      0000000007         5.000          84.000           0.563
0000010229      0000000005         5.001          59.988           0.402
0000010232      0000000003         5.001          35.993           0.241
0000010240      0000000008         5.001          95.981           0.643
0000010243      0000000003         5.001          35.993           0.241
0000010251      0000000008         5.000          96.000           0.643
0000010259      0000000008         5.001          95.981           0.643
0000010261      0000000002         5.001          23.995           0.161
0000010265      0000000004         5.001          47.990           0.322
0000010271      0000000006         5.001          71.986           0.482
0000010276      0000000005         5.000          60.000           0.402
0000010279      0000000003         5.001          35.993           0.241
0000010280      0000000001         5.001          11.998           0.080
0000010283      0000000003         5.001          35.993           0.241
0000010288      0000000005         5.001          59.988           0.402
0000010293      0000000005         5.000          60.000           0.402
0000010297      0000000004         5.001          47.990           0.322
0000010301      0000000004         5.001          47.990           0.322
0000010307      0000000006         5.001          71.986           0.482
0000010311      0000000004         5.002          47.981           0.321
0000010314      0000000003         5.001          35.993           0.241
0000010319      0000000005         5.001          59.988           0.402
0000010321      0000000002         5.001          23.995           0.161
0000010327      0000000006         5.001          71.986           0.482
0000010331      0000000004         5.000          48.000           0.322
0000010335      0000000004         5.001          47.990           0.322
0000010337      0000000002         5.001          23.995           0.161
0000010341      0000000004         5.001          47.990           0.322
0000010346      0000000005         5.001          59.988           0.402
0000010353      0000000007         5.000          84.000           0.563
0000010357      0000000004         5.001          47.990           0.322
0000010361      0000000004         5.001          47.990           0.322
0000010368      0000000007         5.001          83.983           0.563
0000010371      0000000003         5.001          35.993           0.241
0000010373      0000000002         5.000          24.000           0.161
0000010377      0000000004         5.001          47.990           0.322
0000010379      0000000002         5.001          23.995           0.161
0000010383      0000000004         5.001          47.990           0.322
0000010387      0000000004         5.001          47.990           0.322
0000010393      0000000006         5.000          72.000           0.482
0000010396      0000000003         5.001          35.993           0.241
0000010399      0000000003         5.001          35.993           0.241
0000010407      0000000008         5.001          95.981           0.643
0000010411      0000000004         5.001          47.990           0.322
0000010414      0000000003         5.000          36.000           0.241
0000010422      0000000008         5.001          95.981           0.643
0000010426      0000000004         5.001          47.990           0.322
0000010430      0000000004         5.001          47.990           0.322
0000010435      0000000005         5.002          59.976           0.402
0000010440      0000000005         5.001          59.988           0.402
0000010443      0000000003         5.001          35.993           0.241
0000010443      0000000000         5.001           0.000           0.000
0000010444      0000000001         5.001          11.998           0.080
0000010453      0000000009         5.000         108.000           0.724
0000010458      0000000005         5.001          59.988           0.402
0000010462      0000000004         5.001          47.990           0.322
0000010465      0000000003         5.001          35.993           0.241
0000010468      0000000003         5.001          35.993           0.241
0000010475      0000000007         5.000          84.000           0.563
0000010482      0000000007         5.001          83.983           0.563
0000010489      0000000007         5.001          83.983           0.563
0000010491      0000000002         5.001          23.995           0.161
0000010493      0000000002         5.001          23.995           0.161
0000010498      0000000005         5.000          60.000           0.402
0000010508      0000000010         5.001         119.976           0.804
0000010517      0000000009         5.001         107.978           0.723
0000010521      0000000004         5.020          47.809           0.320
0000010528      0000000007         5.001          83.983           0.563
0000010530      0000000002         5.001          23.995           0.161
0000010534      0000000004         5.001          47.990           0.322
0000010538      0000000004         5.000          48.000           0.322
0000010542      0000000004         5.001          47.990           0.322
0000010548      0000000006         5.001          71.986           0.482
0000010551      0000000003         5.001          35.993           0.241
0000010556      0000000005         5.001          59.988           0.402
0000010561      0000000005         5.000          60.000           0.402
0000010565      0000000004         5.001          47.990           0.322
0000010571      0000000006         5.001          71.986           0.482
0000010578      0000000007         5.001          83.983           0.563
0000010584      0000000006         5.001          71.986           0.482
0000010590      0000000006         5.000          72.000           0.482
0000010593      0000000003         5.001          35.993           0.241
0000010604      0000000011         5.001         131.974           0.884
0000010608      0000000004         5.001          47.990           0.322
0000010611      0000000003         5.001          35.993           0.241
0000010620      0000000009         5.000         108.000           0.724
0000010627      0000000007         5.001          83.983           0.563
0000010636      0000000009         5.001         107.978           0.723
0000010640      0000000004         5.001          47.990           0.322
0000010646      0000000006         5.001          71.986           0.482
0000010649      0000000003         5.000          36.000           0.241
0000010656      0000000007         5.001          83.983           0.563
0000010660      0000000004         5.001          47.990           0.322
0000010664      0000000004         5.001          47.990           0.322
0000010666      0000000002         5.002          23.990           0.161
0000010673      0000000007         5.001          83.983           0.563
0000010682      0000000009         5.001         107.978           0.723
0000010682      0000000000         5.001           0.000           0.000
0000010688      0000000006         5.001          71.986           0.482
0000010690      0000000002         5.000          24.000           0.161
0000010692      0000000002         5.001          23.995           0.161
0000010699      0000000007         5.001          83.983           0.563
0000010703      0000000004         5.001          47.990           0.322
0000010707      0000000004         5.001          47.990           0.322
0000010716      0000000009         5.000         108.000           0.724
0000010720      0000000004         5.001          47.990           0.322
0000010726      0000000006         5.001          71.986           0.482
0000010731      0000000005         5.001          59.988           0.402
0000010737      0000000006         5.001          71.986           0.482
0000010744      0000000007         5.000          84.000           0.563
0000010748      0000000004         5.001          47.990           0.322
0000010752      0000000004         5.001          47.990           0.322
0000010757      0000000005         5.001          59.988           0.402
0000010762      0000000005         5.001          59.988           0.402
0000010764      0000000002         5.000          24.000           0.161
0000010767      0000000003         5.001          35.993           0.241
0000010777      0000000010         5.001         119.976           0.804
0000010779      0000000002         5.001          23.995           0.161
0000010784      0000000005         5.002          59.976           0.402
0000010790      0000000006         5.001          71.986           0.482
0000010793      0000000003         5.001          35.993           0.241
0000010797      0000000004         5.001          47.990           0.322
0000010801      0000000004         5.001          47.990           0.322
0000010809      0000000008         5.000          96.000           0.643
0000010812      0000000003         5.001          35.993           0.241
0000010814      0000000002         5.001          23.995           0.161
0000010817      0000000003         5.001          35.993           0.241
0000010826      0000000009         5.001         107.978           0.723
0000010828      0000000002         5.000          24.000           0.161
0000010835      0000000007         5.001          83.983           0.563
0000010839      0000000004         5.001          47.990           0.322
0000010844      0000000005         5.001          59.988           0.402
0000010849      0000000005         5.001          59.988           0.402
0000010853      0000000004         5.000          48.000           0.322
0000010860      0000000007         5.001          83.983           0.563
0000010863      0000000003         5.001          35.993           0.241
0000010869      0000000006         5.001          71.986           0.482
0000010874      0000000005         5.001          59.988           0.402
0000010880      0000000006         5.000          72.000           0.482
0000010887      0000000007         5.001          83.983           0.563
0000010889      0000000002         5.001          23.995           0.161
0000010893      0000000004         5.001          47.990           0.322
0000010896      0000000003         5.001          35.993           0.241
0000010899      0000000003         5.000          36.000           0.241
0000010905      0000000006         5.001          71.986           0.482
0000010913      0000000008         5.001          95.981           0.643
0000010917      0000000004         5.001          47.990           0.322
0000010920      0000000003         5.002          35.986           0.241
0000010922      0000000002         5.001          23.995           0.161
0000010927      0000000005         5.001          59.988           0.402
0000010933      0000000006         5.001          71.986           0.482
0000010935      0000000002         5.001          23.995           0.161
