counts  d_counts        d_time  cpm     uSv/h
0000000529      0000000005         5.001          59.988           0.402
0000000531      0000000002         5.001          23.995           0.161
0000000535      0000000004         5.000          48.000           0.322
0000000538      0000000003         5.001          35.993           0.241
0000000547      0000000009         5.001         107.978           0.723
0000000551      0000000004         5.001          47.990           0.322
0000000554      0000000003         5.001          35.993           0.241
0000000557      0000000003         5.000          36.000           0.241
0000000563      0000000006         5.001          71.986           0.482
0000000565      0000000002         5.001          23.995           0.161
0000000572      0000000007         5.001          83.983           0.563
0000000574      0000000002         5.001          23.995           0.161
0000000579      0000000005         5.000          60.000           0.402
0000000583      0000000004         5.001          47.990           0.322
0000000586      0000000003         5.001          35.993           0.241
0000000592      0000000006         5.001          71.986           0.482
0000000594      0000000002         5.018          23.914           0.160
0000000598      0000000004         5.001          47.990           0.322
0000000604      0000000006         5.001          71.986           0.482
0000000613      0000000009         5.002         107.957           0.723
0000000618      0000000005         5.001          59.988           0.402
0000000622      0000000004         5.001          47.990           0.322
0000000626      0000000004         5.001          47.990           0.322
0000000628      0000000002         5.001          23.995           0.161
0000000633      0000000005         5.000          60.000           0.402
0000000636      0000000003         5.001          35.993           0.241
0000000638      0000000002         5.001          23.995           0.161
0000000643      0000000005         5.001          59.988           0.402
0000000644      0000000001         5.001          11.998           0.080
0000000649      0000000005         5.000          60.000           0.402
0000000654      0000000005         5.001          59.988           0.402
0000000658      0000000004         5.001          47.990           0.322
0000000661      0000000003         5.001          35.993           0.241
0000000667      0000000006         5.001          71.986           0.482
0000000671      0000000004         5.000          48.000           0.322
0000000678      0000000007         5.001          83.983           0.563
0000000683      0000000005         5.001          59.988           0.402
0000000685      0000000002         5.001          23.995           0.161
0000000690      0000000005         5.002          59.976           0.402
0000000697      0000000007         5.001          83.983           0.563
0000000703      0000000006         5.001          71.986           0.482
0000000707      0000000004         5.001          47.990           0.322
0000000716      0000000009         5.001         107.978           0.723
0000000717      0000000001         5.000          12.000           0.080
0000000724      0000000007         5.001          83.983           0.563
0000000727      0000000003         5.001          35.993           0.241
0000000730      0000000003         5.005          35.964           0.241
0000000736      0000000006         5.006          71.914           0.482
0000000741      0000000005         5.001          59.988           0.402
0000000748      0000000007         5.001          83.983           0.563
0000000752      0000000004         5.001          47.990           0.322
0000000758      0000000006         5.001          71.986           0.482
0000000760      0000000002         5.000          24.000           0.161
0000000767      0000000007         5.001          83.983           0.563
0000000772      0000000005         5.001          59.988           0.402
0000000776      0000000004         5.001          47.990           0.322
0000000779      0000000003         5.001          35.993           0.241
0000000782      0000000003         5.000          36.000           0.241
0000000788      0000000006         5.001          71.986           0.482
0000000792      0000000004         5.001          47.990           0.322
0000000795      0000000003         5.001          35.993           0.241
0000000800      0000000005         5.002          59.976           0.402
0000000801      0000000001         5.001          11.998           0.080
0000000804      0000000003         5.001          35.993           0.241
0000000809      0000000005         5.001          59.988           0.402
0000000813      0000000004         5.001          47.990           0.322
0000000819      0000000006         5.000          72.000           0.482
0000000825      0000000006         5.001          71.986           0.482
0000000830      0000000005         5.001          59.988           0.402
0000000832      0000000002         5.001          23.995           0.161
0000000836      0000000004         5.001          47.990           0.322
0000000840      0000000004         5.000          48.000           0.322
0000000851      0000000011         5.001         131.974           0.884
0000000855      0000000004         5.001          47.990           0.322
0000000859      0000000004         5.001          47.990           0.322
0000000863      0000000004         5.001          47.990           0.322
0000000867      0000000004         5.000          48.000           0.322
0000000870      0000000003         5.001          35.993           0.241
0000000874      0000000004         5.001          47.990           0.322
0000000879      0000000005         5.001          59.988           0.402
0000000888      0000000009         5.001         107.978           0.723
0000000893      0000000005         5.000          60.000           0.402
0000000899      0000000006         5.001          71.986           0.482
0000000905      0000000006         5.001          71.986           0.482
0000000910      0000000005         5.001          59.988           0.402
0000000914      0000000004         5.002          47.981           0.321
0000000918      0000000004         5.001          47.990           0.322
0000000925      0000000007         5.001          83.983           0.563
0000000934      0000000009         5.001         107.978           0.723
0000000940      0000000006         5.001          71.986           0.482
0000000945      0000000005         5.000          60.000           0.402
0000000946      0000000001         5.001          11.998           0.080
0000000950      0000000004         5.001          47.990           0.322
0000000954      0000000004         5.001          47.990           0.322
0000000957      0000000003         5.001          35.993           0.241
0000000960      0000000003         5.000          36.000           0.241
0000000967      0000000007         5.001          83.983           0.563
0000000978      0000000011         5.001         131.974           0.884
0000000982      0000000004         5.001          47.990           0.322
0000000989      0000000007         5.001          83.983           0.563
0000000993      0000000004         5.000          48.000           0.322
0000000997      0000000004         5.001          47.990           0.322
0000001000      0000000003         5.001          35.993           0.241
0000001003      0000000003         5.001          35.993           0.241
0000001006      0000000003         5.001          35.993           0.241
0000001012      0000000006         5.000          72.000           0.482
0000001015      0000000003         5.001          35.993           0.241
0000001021      0000000006         5.001          71.986           0.482
0000001024      0000000003         5.001          35.993           0.241
0000001026      0000000002         5.002          23.990           0.161
0000001029      0000000003         5.001          35.993           0.241
0000001032      0000000003         5.001          35.993           0.241
0000001035      0000000003         5.001          35.993           0.241
0000001040      0000000005         5.001          59.988           0.402
0000001045      0000000005         5.000          60.000           0.402
0000001050      0000000005         5.001          59.988           0.402
0000001053      0000000003         5.001          35.993           0.241
0000001055      0000000002         5.001          23.995           0.161
0000001058      0000000003         5.001          35.993           0.241
0000001062      0000000004         5.000          48.000           0.322
0000001073      0000000011         5.001         131.974           0.884
0000001079      0000000006         5.001          71.986           0.482
0000001082      0000000003         5.001          35.993           0.241
0000001085      0000000003         5.001          35.993           0.241
0000001088      0000000003         5.000          36.000           0.241
0000001092      0000000004         5.001          47.990           0.322
0000001094      0000000002         5.001          23.995           0.161
0000001099      0000000005         5.001          59.988           0.402
0000001105      0000000006         5.001          71.986           0.482
0000001111      0000000006         5.000          72.000           0.482
0000001115      0000000004         5.001          47.990           0.322
0000001120      0000000005         5.001          59.988           0.402
0000001125      0000000005         5.001          59.988           0.402
0000001132      0000000007         5.001          83.983           0.563
0000001135      0000000003         5.000          36.000           0.241
0000001136      0000000001         5.001          11.998           0.080
0000001137      0000000001         5.001          11.998           0.080
0000001143      0000000006         5.001          71.986           0.482
0000001145      0000000002         5.002          23.990           0.161
0000001147      0000000002         5.001          23.995           0.161
0000001149      0000000002         5.001          23.995           0.161
0000001153      0000000004         5.001          47.990           0.322
0000001156      0000000003         5.001          35.993           0.241
0000001159      0000000003         5.000          36.000           0.241
