system_time     d_time  counts  d_c     CPM     DRE
9553.025        12.002          2408    2          9.998           0.067
9565.026        12.001          2412    4         19.998           0.134
9577.027        12.001          2417    5         24.998           0.167
9589.028        12.001          2419    2          9.999           0.067
9601.030        12.002          2420    1          4.999           0.033
9613.031        12.001          2422    2          9.999           0.067
9625.032        12.001          2427    5         24.998           0.167
9637.033        12.001          2430    3         14.999           0.100
9649.035        12.002          2431    1          4.999           0.033
9661.036        12.001          2433    2          9.999           0.067
9673.037        12.001          2438    5         24.998           0.167
9685.039        12.002          2446    8         39.993           0.268
9697.040        12.001          2446    0          0.000           0.000
9709.041        12.001          2447    1          5.000           0.033
9721.042        12.001          2450    3         14.999           0.100
9733.044        12.002          2456    6         29.995           0.201
9745.045        12.001          2457    1          5.000           0.033
9757.046        12.001          2460    3         14.999           0.100
9769.048        12.002          2461    1          4.999           0.033
9781.049        12.001          2464    3         14.999           0.100
9793.050        12.001          2470    6         29.997           0.201
9805.051        12.001          2475    5         24.998           0.167
9817.053        12.002          2476    1          4.999           0.033
9829.054        12.001          2482    6         29.997           0.201
9841.055        12.001          2483    1          5.000           0.033
9853.057        12.002          2486    3         14.998           0.100
9865.058        12.001          2491    5         24.998           0.167
9877.059        12.001          2492    1          5.000           0.033
9889.060        12.001          2495    3         14.999           0.100
9901.062        12.002          2496    1          4.999           0.033
9913.063        12.001          2496    0          0.000           0.000
9925.064        12.001          2497    1          5.000           0.033
9937.065        12.001          2502    5         24.998           0.167
9949.067        12.002          2504    2          9.998           0.067
9961.068        12.001          2506    2          9.999           0.067
9973.069        12.001          2508    2          9.999           0.067
9985.071        12.002          2509    1          4.999           0.033
9997.072        12.001          2511    2          9.999           0.067
10009.073       12.001          2513    2          9.999           0.067
10021.074       12.001          2517    4         19.998           0.134
10033.076       12.002          2518    1          4.999           0.033
10045.077       12.001          2521    3         14.999           0.100
10057.078       12.001          2527    6         29.997           0.201
10069.080       12.002          2527    0          0.000           0.000
10081.081       12.001          2529    2          9.999           0.067
10093.082       12.001          2531    2          9.999           0.067
10105.083       12.001          2535    4         19.998           0.134
10117.085       12.002          2538    3         14.998           0.100
10129.086       12.001          2538    0          0.000           0.000
10141.087       12.001          2540    2          9.999           0.067
10153.089       12.002          2544    4         19.997           0.134
10165.090       12.001          2546    2          9.999           0.067
10177.091       12.001          2551    5         24.998           0.167
10189.092       12.001          2553    2          9.999           0.067
10201.094       12.002          2555    2          9.998           0.067
10213.095       12.001          2555    0          0.000           0.000
10225.096       12.001          2557    2          9.999           0.067
10237.097       12.001          2561    4         19.998           0.134
10249.099       12.002          2564    3         14.998           0.100
10261.100       12.001          2564    0          0.000           0.000
10273.101       12.001          2568    4         19.998           0.134
10285.103       12.002          2571    3         14.998           0.100
10297.104       12.001          2575    4         19.998           0.134
10309.105       12.001          2578    3         14.999           0.100
10321.106       12.001          2582    4         19.998           0.134
10333.108       12.002          2586    4         19.997           0.134
10345.109       12.001          2588    2          9.999           0.067
10357.110       12.001          2591    3         14.999           0.100
10369.112       12.002          2595    4         19.997           0.134
10381.113       12.001          2598    3         14.999           0.100
10393.114       12.001          2601    3         14.999           0.100
10405.115       12.001          2603    2          9.999           0.067
10417.117       12.002          2605    2          9.998           0.067
10429.118       12.001          2606    1          5.000           0.033
10441.119       12.001          2607    1          5.000           0.033
10453.121       12.002          2608    1          4.999           0.033
10465.122       12.001          2610    2          9.999           0.067
10477.123       12.001          2615    5         24.998           0.167
10489.124       12.001          2618    3         14.999           0.100
10501.126       12.002          2624    6         29.995           0.201
10513.127       12.001          2625    1          5.000           0.033
10525.128       12.001          2626    1          5.000           0.033
10537.129       12.001          2630    4         19.998           0.134
10549.131       12.002          2634    4         19.997           0.134
10561.132       12.001          2635    1          5.000           0.033
10573.133       12.001          2638    3         14.999           0.100
10585.135       12.002          2639    1          4.999           0.033
10597.136       12.001          2639    0          0.000           0.000
10609.137       12.001          2641    2          9.999           0.067
10621.138       12.001          2645    4         19.998           0.134
10633.140       12.002          2646    1          4.999           0.033
10645.141       12.001          2648    2          9.999           0.067
10657.142       12.001          2650    2          9.999           0.067
10669.144       12.002          2654    4         19.997           0.134
10681.145       12.001          2660    6         29.997           0.201
10693.146       12.001          2661    1          5.000           0.033
10705.147       12.001          2663    2          9.999           0.067
10717.149       12.002          2667    4         19.997           0.134
10729.150       12.001          2671    4         19.998           0.134
10741.151       12.001          2673    2          9.999           0.067
10753.153       12.002          2677    4         19.997           0.134
10765.154       12.001          2679    2          9.999           0.067
10777.155       12.001          2679    0          0.000           0.000
10789.156       12.001          2679    0          0.000           0.000
10801.158       12.002          2682    3         14.998           0.100
10813.159       12.001          2684    2          9.999           0.067
10825.160       12.001          2687    3         14.999           0.100
10837.161       12.001          2690    3         14.999           0.100
